Rank,CompanyName,Workers,PreviousWorker,Website,State,City,Growth,Industry,Metro,MetroCode,ZipCode,Founded
1,Vytalize Health,306,20,vytalizehealth.com,New Jersey,Hoboken,"90,779",Health Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",7030,2014
2,Lessen,1053,72,http://lessen.com,Arizona,Scottsdale,"45,603",Software,Phoenix,"Phoenix-Mesa-Chandler, AZ",85251,2019
3,Monogram Health,1048,68,monogramhealth.com,Tennessee,Brentwood,"43,848",Health Services,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",37027,2019
4,Top Tier Solar Solutions,200,2,http://toptiersolarsolutions.com,North Carolina,Charlotte,"41,101",Energy,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",28217,2019
5,ABA Centers of America,1389,4,http://abacenters.com,Florida,Fort Lauderdale,"32,192",Health Services,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33301,2019
6,Upward Health,366,70,upwardhealth.com,New York,"Hauppauge, New York","30,722",Health Services,New York,"New York-Newark-Jersey City, NY-NJ-PA",11788,2010
7,Carbliss,23,1,http://drinkcarbliss.com,Wisconsin,Plymouth,"27,174",Food & Beverage,,"Sheboygan, WI",53073,2019
8,Bounce,84,5,usebounce.com,California,San Francisco,"19,783",Travel & Hospitality,San Francisco,"San Francisco-Oakland-Berkeley, CA",94104,2017
9,Raw Sport Supplement Company,70,4,http://getrawnutrition.com,Florida,Port st lucie,"17,644",Consumer Products,,"Port St. Lucie, FL",34986,2019
10,Alpine IQ,60,4,aiq.com,Colorado,Broomfield,"16,469",Software,Denver,"Denver-Aurora-Lakewood, CO",80023,2019
11,KashKick,18,1,http://kashkick.com,Florida,Tampa,"16,095",Consumer Products,Tampa,"Tampa-St. Petersburg-Clearwater, FL",33647,2017
12,Autosled,32,13,http://autosled.com,Maryland,Rockville,"14,001",Logistics & Transportation,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",20852,2019
13,Cowbell,196,33,http://cowbell.insure,California,Pleasanton,"13,503",Insurance,San Francisco,"San Francisco-Oakland-Berkeley, CA",94566,2019
14,Skyline Smart Energy,120,5,http://skylinesmartenergy.com,California,Downey,"11,857",Energy,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",90241,2019
15,StatusPro,30,3,status.pro,Florida,Miami,"11,379",Consumer Products,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",33132,2019
